2025-10-11T16:23:45.000000000Z [inf]  Starting Container
2025-10-11T16:23:46.400040293Z [inf]  date        7d%  25d%  pos  equity   buy&hold
2025-10-11T16:23:46.400047976Z [inf]  2024-02-08   -1.0    1.4    0   1000.00   1001.74
2025-10-11T16:23:46.400054196Z [inf]  2024-02-09   -0.4    1.9    0   1000.00   1005.15
2025-10-11T16:23:46.400060113Z [inf]  2024-02-10   -1.1    2.5    0   1000.00   1050.22
2025-10-11T16:23:46.400067425Z [inf]  2024-02-11   -0.7    2.1    0   1000.00   1068.46
2025-10-11T16:23:46.400075254Z [inf]  2024-02-12    1.0    6.3    1   1000.00   1018.50
2025-10-11T16:23:46.400082875Z [inf]  2024-02-13    0.4    5.2    1   1000.00   1049.54
2025-10-11T16:23:46.400088447Z [inf]  2024-02-14    0.6    6.7    1   1000.00   1049.40
2025-10-11T16:23:46.400095473Z [inf]  2024-02-15    1.6    6.9    1   1000.00   1045.20
2025-10-11T16:23:46.400103239Z [inf]  2024-02-16    2.3    8.7    1   1000.00   1044.26
2025-10-11T16:23:46.400109801Z [inf]  2024-02-17    1.9    6.9    1   1000.00   1116.10
2025-10-11T16:23:46.400115580Z [inf]  2024-02-18    1.9    4.2    1   1000.00   1096.11
2025-10-11T16:23:46.400121499Z [inf]  2024-02-19    2.9   -0.4    0   1103.51   1109.04
2025-10-11T16:23:46.400127146Z [inf]  2024-02-20    2.4   -0.3    0   1103.51   1101.56
2025-10-11T16:23:46.400132885Z [inf]  2024-02-21    1.8   -0.7    0   1103.51   1017.02
2025-10-11T16:23:46.407732710Z [inf]  2024-02-22    1.5   -1.8    0   1103.51   1018.57
2025-10-11T16:23:46.417104873Z [inf]  2024-02-23   -0.1   -0.9   -1   1103.51    992.05
2025-10-11T16:23:46.426531341Z [inf]  2024-02-24   -0.9   -0.2   -1   1103.51   1010.56
2025-10-11T16:23:46.435056059Z [inf]  2024-02-25   -1.8   -0.6   -1   1103.51   1025.46
2025-10-11T16:23:46.448497502Z [inf]  2024-02-26   -2.2   -0.3   -1   1103.51   1016.86
2025-10-11T16:23:46.457254925Z [inf]  2024-02-27   -1.0    2.8    0   1110.91    982.42
2025-10-11T16:23:46.465666789Z [inf]  2024-02-28   -1.2    2.2    0   1110.91    990.30
2025-10-11T16:23:46.484743725Z [inf]  2024-02-29   -2.0    2.2    0   1110.91    991.18
2025-10-11T16:23:46.488777815Z [inf]  2024-03-01   -0.5    2.2    0   1110.91    988.43
2025-10-11T16:23:46.498031174Z [inf]  2024-03-02   -1.1    1.5    0   1110.91    940.60
2025-10-11T16:23:46.507203521Z [inf]  2024-03-03    0.3    1.3    1   1110.91    948.43
2025-10-11T16:23:46.519088291Z [inf]  2024-03-04    3.0    2.6    1   1110.91    952.88
2025-10-11T16:23:46.528950652Z [inf]  2024-03-05    3.9    2.6    1   1110.91    949.94
2025-10-11T16:23:46.546383806Z [inf]  2024-03-06    5.4    2.2    1   1110.91    994.21
2025-10-11T16:23:46.549366011Z [inf]  2024-03-07    5.9    1.5    1   1110.91   1001.28
2025-10-11T16:23:46.563190890Z [inf]  2024-03-08    4.1    1.9    1   1110.91    999.15
2025-10-11T16:23:46.572296431Z [inf]  2024-03-09    3.3    0.8    1   1110.91   1029.38
2025-10-11T16:23:46.584163226Z [inf]  2024-03-10    1.6    0.3    1   1110.91   1020.78
2025-10-11T16:23:46.592452518Z [inf]  2024-03-11    3.3    0.4    1   1110.91   1012.20
2025-10-11T16:23:46.610376142Z [inf]  2024-03-12    3.5    2.0    1   1110.91   1024.15
2025-10-11T16:23:46.613420850Z [inf]  2024-03-13    0.5    2.9    1   1110.91   1026.93
2025-10-11T16:23:46.626234256Z [inf]  2024-03-14   -0.9    3.5    0   1518.80   1022.44
2025-10-11T16:23:46.638797209Z [inf]  2024-03-15   -0.2    6.6    0   1518.80   1012.26
2025-10-11T16:23:46.647894264Z [inf]  2024-03-16   -0.4    6.6    0   1518.80   1015.26
2025-10-11T16:23:46.656988903Z [inf]  2024-03-17   -0.2    7.5    0   1518.80   1024.53
2025-10-11T16:23:46.665820327Z [inf]  2024-03-18    0.5    9.6    1   1518.80   1054.26
2025-10-11T16:23:46.678081388Z [inf]  2024-03-19   -1.4    9.3    0   1695.09   1076.59
2025-10-11T16:23:46.690805920Z [inf]  2024-03-20    0.6    9.9    1   1695.09   1120.42
2025-10-11T16:23:46.699710917Z [inf]  2024-03-21    0.1   10.8    1   1695.09   1135.12
2025-10-11T16:23:46.708460581Z [inf]  2024-03-22    1.0    9.9    1   1695.09   1148.17
2025-10-11T16:23:46.717518712Z [inf]  2024-03-23    1.9    8.6    1   1695.09   1186.61
2025-10-11T16:23:46.736236872Z [inf]  2024-03-24    0.6    7.7    1   1695.09   1181.44
2025-10-11T16:23:46.739893648Z [inf]  2024-03-25    2.9    7.4    1   1695.09   1231.26
2025-10-11T16:23:46.749484839Z [inf]  2024-03-26    3.0    8.8    1   1695.09   1233.27
2025-10-11T16:23:46.766641721Z [inf]  2024-03-27    1.6    9.3    1   1695.09   1239.08
2025-10-11T16:23:46.769045688Z [inf]  2024-03-28    1.1    6.8    1   1695.09   1227.63
2025-10-11T16:23:46.781088484Z [inf]  2024-03-29    2.4    9.6    1   1695.09   1239.40
2025-10-11T16:23:46.793691887Z [inf]  2024-03-30    3.1    7.5    1   1695.09   1230.77
2025-10-11T16:23:46.800785330Z [inf]  2024-03-31    3.8    7.6    1   1695.09   1242.28
2025-10-11T16:23:46.819584102Z [inf]  2024-04-01    6.0    6.5    1   1695.09   1232.54
2025-10-11T16:23:46.822360663Z [inf]  2024-04-02    6.4    6.3    1   1695.09   1219.21
2025-10-11T16:23:46.831579659Z [inf]  2024-04-03    7.9    9.9    1   1695.09   1206.27
2025-10-11T16:23:46.849204619Z [inf]  2024-04-04    5.7    9.8    1   1695.09   1225.86
2025-10-11T16:23:46.852897418Z [inf]  2024-04-05    6.6   13.6    1   1695.09   1229.68
2025-10-11T16:23:46.865667557Z [inf]  2024-04-06    5.6   10.8    1   1695.09   1294.99
2025-10-11T16:23:46.873574204Z [inf]  2024-04-07    5.0   10.0    1   1695.09   1355.87
2025-10-11T16:23:46.886273729Z [inf]  2024-04-08    4.8   12.9    1   1695.09   1484.11
2025-10-11T16:23:46.895609210Z [inf]  2024-04-09    3.6   15.4    1   1695.09   1453.18
2025-10-11T16:23:46.906648783Z [inf]  2024-04-10    0.6   12.0    1   1695.09   1483.06
2025-10-11T16:23:46.916085748Z [inf]  2024-04-11    1.5   10.1    1   1695.09   1473.54
2025-10-11T16:23:46.925506688Z [inf]  2024-04-12    2.7   13.3    1   1695.09   1500.32
2025-10-11T16:23:46.943187793Z [inf]  2024-04-13    2.3    9.1    1   1695.09   1622.31
2025-10-11T16:23:46.946929751Z [inf]  2024-04-14    0.3    9.9    1   1695.09   1514.82
2025-10-11T16:23:46.956266536Z [inf]  2024-04-15    0.7   12.1    1   1695.09   1570.69
2025-10-11T16:23:46.974867803Z [inf]  2024-04-16    1.8   11.3    1   1695.09   1588.50
2025-10-11T16:23:46.978746570Z [inf]  2024-04-17    1.9   12.5    1   1695.09   1619.42
2025-10-11T16:23:46.988025921Z [inf]  2024-04-18    2.8   10.7    1   1695.09   1623.92
2025-10-11T16:23:47.001159207Z [inf]  2024-04-19    3.2   11.5    1   1695.09   1639.19
2025-10-11T16:23:47.009378175Z [inf]  2024-04-20    3.1    6.3    1   1695.09   1713.41
2025-10-11T16:23:47.027573393Z [inf]  2024-04-21    2.1    7.5    1   1695.09   1698.53
2025-10-11T16:23:47.031142154Z [inf]  2024-04-22    3.5    6.8    1   1695.09   1737.05
2025-10-11T16:23:47.040585243Z [inf]  2024-04-23    1.0    4.3    1   1695.09   1697.03
2025-10-11T16:23:47.050138110Z [inf]  2024-04-24    1.6    3.2    1   1695.09   1652.12
2025-10-11T16:23:47.068187264Z [inf]  2024-04-25   -2.0    4.0    0   5319.86   1552.30
2025-10-11T16:23:47.072287368Z [inf]  2024-04-26   -0.6    5.4    0   5319.86   1625.82
2025-10-11T16:23:47.081322649Z [inf]  2024-04-27    0.2    2.3    1   5319.86   1607.20
2025-10-11T16:23:47.093379083Z [inf]  2024-04-28    1.2    0.0    1   5319.86   1472.35
2025-10-11T16:23:47.102434222Z [inf]  2024-04-29    1.8    2.2    1   5319.86   1612.68
2025-10-11T16:23:47.113387251Z [inf]  2024-04-30    2.9    0.8    1   5319.86   1557.07
2025-10-11T16:23:47.124695446Z [inf]  2024-05-01    2.8    1.7    1   5319.86   1516.55
2025-10-11T16:23:47.133602505Z [inf]  2024-05-02    3.6    2.6    1   5319.86   1521.15
2025-10-11T16:23:47.152021994Z [inf]  2024-05-03    3.4    3.2    1   5319.86   1597.69
