2025-10-11T16:23:45.000000000Z [inf]  Starting Container
2025-10-11T16:23:46.400040293Z [inf]  date        7d%  25d%  pos  equity   buy&hold
2025-10-11T16:23:47.155523693Z [inf]  2024-05-04    3.0    1.6    1   5319.86   1661.16
2025-10-11T16:23:47.165335034Z [inf]  2024-05-05    0.3    0.7    1   5319.86   1663.73
2025-10-11T16:23:47.177360663Z [inf]  2024-05-06    0.3    4.8    1   5319.86   1651.41
2025-10-11T16:23:47.184481016Z [inf]  2024-05-07    0.4    2.1    1   5319.86   1682.57
2025-10-11T16:23:47.195119301Z [inf]  2024-05-08   -0.4    3.7    0   6062.57   1660.46
2025-10-11T16:23:47.213612811Z [inf]  2024-05-09   -1.1   -1.0   -1   6062.57   1654.08
2025-10-11T16:23:47.217095173Z [inf]  2024-05-10    1.5    0.3    0   6155.74   1694.44
2025-10-11T16:23:47.226134918Z [inf]  2024-05-11    1.8   -0.6    0   6155.74   1655.69
2025-10-11T16:23:47.243727220Z [inf]  2024-05-12    0.6    1.7    1   6155.74   1556.19
2025-10-11T16:23:47.247083487Z [inf]  2024-05-13    1.5    3.4    1   6155.74   1568.05
2025-10-11T16:23:47.259618319Z [inf]  2024-05-14   -1.2    5.0    0   4852.46   1628.07
2025-10-11T16:23:47.268412621Z [inf]  2024-05-15   -0.2    4.1    0   4852.46   1612.21
2025-10-11T16:23:47.277559647Z [inf]  2024-05-16    1.7    6.9    1   4852.46   1637.77
2025-10-11T16:23:47.296043216Z [inf]  2024-05-17    1.9    6.0    1   4852.46   1648.81
2025-10-11T16:23:47.299680060Z [inf]  2024-05-18   -1.0    5.9    0   5293.13   1702.52
2025-10-11T16:23:47.318051276Z [inf]  2024-05-19   -0.7    3.3    0   5293.13   1643.71
2025-10-11T16:23:47.321411486Z [inf]  2024-05-20    0.9    3.8    1   5293.13   1679.02
2025-10-11T16:23:47.330342346Z [inf]  2024-05-21    2.0    2.7    1   5293.13   1664.16
2025-10-11T16:23:47.343106244Z [inf]  2024-05-22    1.1    2.0    1   5293.13   1595.47
2025-10-11T16:23:47.352153872Z [inf]  2024-05-23    2.0    1.6    1   5293.13   1519.59
2025-10-11T16:23:47.407081669Z [inf]  2024-05-24   -0.3    3.9    0   3694.31   1560.89
2025-10-11T16:23:47.407087345Z [inf]  2024-05-25    0.7    3.7    1   3694.31   1507.60
2025-10-11T16:23:47.407092749Z [inf]  2024-05-26   -0.6    1.9    0   3189.78   1516.47
2025-10-11T16:23:47.407098705Z [inf]  2024-05-27    1.3    2.6    1   3189.78   1456.66
2025-10-11T16:23:47.407104690Z [inf]  2024-05-28    2.4    0.8    1   3189.78   1508.79
2025-10-11T16:23:47.416233501Z [inf]  2024-05-29    1.5    1.1    1   3189.78   1517.06
2025-10-11T16:23:47.425328414Z [inf]  2024-05-30    0.6    1.8    1   3189.78   1543.74
2025-10-11T16:23:47.434647018Z [inf]  2024-05-31   -1.0    2.9    0   3419.23   1543.76
2025-10-11T16:23:47.445237610Z [inf]  2024-06-01   -2.0   -0.2   -1   3419.23   1588.40
2025-10-11T16:23:47.456676101Z [inf]  2024-06-02   -1.8    1.0    0   3023.68   1578.77
2025-10-11T16:23:47.465012593Z [inf]  2024-06-03   -1.9    1.4    0   3023.68   1528.27
2025-10-11T16:23:47.483723252Z [inf]  2024-06-04   -3.0    4.4    0   3023.68   1533.23
2025-10-11T16:23:47.487770808Z [inf]  2024-06-05   -2.8    2.1    0   3023.68   1515.92
2025-10-11T16:23:47.500022178Z [inf]  2024-06-06   -2.2    3.7    0   3023.68   1508.59
2025-10-11T16:23:47.509807445Z [inf]  2024-06-07    0.1    1.3    1   3023.68   1500.43
2025-10-11T16:23:47.519018538Z [inf]  2024-06-08    0.8    1.5    1   3023.68   1518.20
2025-10-11T16:23:47.528571810Z [inf]  2024-06-09    1.3    1.7    1   3023.68   1442.27
2025-10-11T16:23:47.546277433Z [inf]  2024-06-10    3.1    3.1    1   3023.68   1387.43
2025-10-11T16:23:47.550018799Z [inf]  2024-06-11    3.3    2.8    1   3023.68   1403.97
2025-10-11T16:23:47.559399181Z [inf]  2024-06-12    3.8    3.4    1   3023.68   1494.81
2025-10-11T16:23:47.571444499Z [inf]  2024-06-13    4.2    1.3    1   3023.68   1518.82
2025-10-11T16:23:47.579925439Z [inf]  2024-06-14    2.8    2.8    1   3023.68   1521.67
2025-10-11T16:23:47.593592518Z [inf]  2024-06-15    1.4    0.6    1   3023.68   1501.54
2025-10-11T16:23:47.603133361Z [inf]  2024-06-16    1.2    1.2    1   3023.68   1481.26
2025-10-11T16:23:47.612205079Z [inf]  2024-06-17    2.1    0.8    1   3023.68   1454.66
2025-10-11T16:23:47.620746194Z [inf]  2024-06-18    3.0    0.5    1   3023.68   1499.37
2025-10-11T16:23:47.633358844Z [inf]  2024-06-19    2.8    2.9    1   3023.68   1445.31
2025-10-11T16:23:47.646481663Z [inf]  2024-06-20    1.5    2.5    1   3023.68   1445.93
2025-10-11T16:23:47.655011378Z [inf]  2024-06-21    1.9    7.3    1   3023.68   1461.57
2025-10-11T16:23:47.664387088Z [inf]  2024-06-22    2.1    7.1    1   3023.68   1496.19
2025-10-11T16:23:47.676479267Z [inf]  2024-06-23    1.6    6.2    1   3023.68   1463.80
2025-10-11T16:23:47.686193553Z [inf]  2024-06-24    1.9    8.2    1   3023.68   1573.84
2025-10-11T16:23:47.695228924Z [inf]  2024-06-25    2.2    7.9    1   3023.68   1550.75
2025-10-11T16:23:47.712560720Z [inf]  2024-06-26    2.6    8.5    1   3023.68   1593.27
2025-10-11T16:23:47.715222636Z [inf]  2024-06-27    2.5    7.4    1   3023.68   1590.68
2025-10-11T16:23:47.733807123Z [inf]  2024-06-28    3.0    6.4    1   3023.68   1575.44
2025-10-11T16:23:47.737308890Z [inf]  2024-06-29    3.0    5.9    1   3023.68   1698.40
2025-10-11T16:23:47.745473243Z [inf]  2024-06-30    2.3    3.9    1   3023.68   1667.54
2025-10-11T16:23:47.756762421Z [inf]  2024-07-01    7.0    6.1    1   3023.68   1644.20
2025-10-11T16:23:47.774804093Z [inf]  2024-07-02    6.6    7.2    1   3023.68   1615.75
2025-10-11T16:23:47.778718699Z [inf]  2024-07-03    6.8    7.9    1   3023.68   1629.55
2025-10-11T16:23:47.787828723Z [inf]  2024-07-04    6.9    5.4    1   3023.68   1647.15
2025-10-11T16:23:47.800112026Z [inf]  2024-07-05    5.5    6.8    1   3023.68   1628.54
2025-10-11T16:23:47.812742673Z [inf]  2024-07-06    4.2    6.8    1   3023.68   1650.62
2025-10-11T16:23:47.821808604Z [inf]  2024-07-07    2.5    4.4    1   3023.68   1625.94
2025-10-11T16:23:47.830785213Z [inf]  2024-07-08    0.8    4.8    1   3023.68   1608.21
2025-10-11T16:23:47.841140996Z [inf]  2024-07-09    0.9    3.9    1   3023.68   1624.84
2025-10-11T16:23:47.859143238Z [inf]  2024-07-10    0.4    3.1    1   3023.68   1605.54
2025-10-11T16:23:47.862673181Z [inf]  2024-07-11   -0.7    3.2    0   3800.87   1610.93
2025-10-11T16:23:47.871917719Z [inf]  2024-07-12    0.1    4.7    1   3800.87   1610.90
2025-10-11T16:23:47.880891434Z [inf]  2024-07-13    1.5    4.2    1   3800.87   1635.72
2025-10-11T16:23:47.899487680Z [inf]  2024-07-14    2.5    3.5    1   3800.87   1676.80
2025-10-11T16:23:47.903010271Z [inf]  2024-07-15    3.7    6.3    1   3800.87   1690.35
2025-10-11T16:23:47.912209231Z [inf]  2024-07-16    1.4    4.0    1   3800.87   1683.01
2025-10-11T16:23:47.930396351Z [inf]  2024-07-17    0.4    4.7    1   3800.87   1648.70
2025-10-11T16:23:47.934082514Z [inf]  2024-07-18    0.7    5.7    1   3800.87   1647.62
2025-10-11T16:23:47.943263939Z [inf]  2024-07-19    0.7    4.1    1   3800.87   1655.65
2025-10-11T16:23:47.955913572Z [inf]  2024-07-20    0.2    1.7    1   3800.87   1653.08
2025-10-11T16:23:47.968393014Z [inf]  2024-07-21    0.1   -1.7    0   4198.68   1600.17
2025-10-11T16:23:47.976987558Z [inf]  2024-07-22    0.6   -4.4    0   4198.68   1622.75
2025-10-11T16:23:47.987974152Z [inf]  2024-07-23    2.2   -4.5    0   4198.68   1587.30
2025-10-11T16:23:47.995544525Z [inf]  2024-07-24    1.9   -3.9    0   4198.68   1569.97
2025-10-11T16:23:48.013334964Z [inf]  2024-07-25   -0.2   -5.3   -1   4198.68   1574.35
2025-10-11T16:23:48.016468607Z [inf]  2024-07-26   -0.1   -5.5   -1   4198.68   1585.02
2025-10-11T16:23:48.034992040Z [inf]  2024-07-27   -0.2   -2.2   -1   4198.68   1580.92
2025-10-11T16:23:48.038445778Z [inf]  2024-07-28   -1.4   -1.6   -1   4198.68   1549.32
2025-10-11T16:23:48.047674893Z [inf]  2024-07-29   -1.8   -0.9   -1   4198.68   1544.55
2025-10-11T16:23:48.058095570Z [inf]  2024-07-30   -3.8   -0.7   -1   4198.68   1542.07
2025-10-11T16:23:48.070610199Z [inf]  2024-07-31   -4.6   -2.3   -1   4198.68   1524.80
2025-10-11T16:23:48.079885393Z [inf]  2024-08-01   -3.5   -3.5   -1   4198.68   1527.61
2025-10-11T16:23:48.089220044Z [inf]  2024-08-02   -2.9   -4.3   -1   4198.68   1502.61
2025-10-11T16:23:48.101798367Z [inf]  2024-08-03   -1.4   -4.6   -1   4198.68   1433.27
2025-10-11T16:23:48.110830137Z [inf]  2024-08-04   -2.7   -5.4   -1   4198.68   1469.23
2025-10-11T16:23:48.129600527Z [inf]  2024-08-05   -1.0   -5.4   -1   4198.68   1446.86
2025-10-11T16:23:48.133015042Z [inf]  2024-08-06   -0.7   -2.9   -1   4198.68   1466.86
2025-10-11T16:23:48.145209532Z [inf]  2024-08-07    0.8   -1.3    0   5301.70   1436.47
2025-10-11T16:23:48.154506589Z [inf]  2024-08-08    2.9   -3.5    0   5301.70   1449.75
2025-10-11T16:23:48.163641069Z [inf]  2024-08-09    3.9   -1.9    0   5301.70   1492.19
2025-10-11T16:23:48.176096573Z [inf]  2024-08-10    1.9   -0.8    0   5301.70   1495.24
2025-10-11T16:23:48.183242386Z [inf]  2024-08-11    2.5   -2.8    0   5301.70   1477.06
2025-10-11T16:23:48.193559122Z [inf]  2024-08-12    5.4   -2.7    0   5301.70   1431.26
2025-10-11T16:23:48.212197633Z [inf]  2024-08-13    5.6   -0.6    0   5301.70   1356.17
2025-10-11T16:23:48.215734525Z [inf]  2024-08-14    6.4   -1.3    0   5301.70   1346.16
2025-10-11T16:23:48.224545936Z [inf]  2024-08-15    6.0   -0.0    0   5301.70   1384.23
2025-10-11T16:23:48.236193663Z [inf]  2024-08-16    6.2    1.5    1   5301.70   1327.83
2025-10-11T16:23:48.253659940Z [inf]  2024-08-17    5.2    3.1    1   5301.70   1348.20
2025-10-11T16:23:48.256971501Z [inf]  2024-08-18    4.7    2.8    1   5301.70   1379.94
2025-10-11T16:23:48.265969344Z [inf]  2024-08-19    3.2    5.2    1   5301.70   1372.24
2025-10-11T16:23:48.278672568Z [inf]  2024-08-20    5.0    7.3    1   5301.70   1363.06
2025-10-11T16:23:48.287738800Z [inf]  2024-08-21    5.3    7.8    1   5301.70   1376.12
2025-10-11T16:23:48.307104342Z [inf]  2024-08-22    4.6    8.5    1   5301.70   1407.38
2025-10-11T16:23:48.310580045Z [inf]  2024-08-23    1.0   10.8    1   5301.70   1445.27
2025-10-11T16:23:48.319579101Z [inf]  2024-08-24    0.7    9.0    1   5301.70   1538.60
2025-10-11T16:23:48.337221106Z [inf]  2024-08-25    0.8    8.3    1   5301.70   1546.20
2025-10-11T16:23:48.340483252Z [inf]  2024-08-26    0.8   10.7    1   5301.70   1523.48
2025-10-11T16:23:48.358666158Z [inf]  2024-08-27    1.1    8.5    1   5301.70   1521.10
2025-10-11T16:23:48.361275536Z [inf]  2024-08-28   -1.1    8.2    0   7398.62   1584.62
2025-10-11T16:23:48.417721438Z [inf]  2024-08-29   -0.6    7.4    0   7398.62   1596.03
2025-10-11T16:23:48.417727534Z [inf]  2024-08-30    0.3    6.3    1   7398.62   1620.40
2025-10-11T16:23:48.417734027Z [inf]  2024-08-31    1.2    5.3    1   7398.62   1605.35
2025-10-11T16:23:48.417739240Z [inf]  2024-09-01    0.2    2.1    1   7398.62   1567.41
2025-10-11T16:23:48.417743698Z [inf]  2024-09-02    0.6    0.3    1   7398.62   1554.09
2025-10-11T16:23:48.425822192Z [inf]  2024-09-03   -0.4    0.8    0   6621.09   1564.17
2025-10-11T16:23:48.434671325Z [inf]  2024-09-04   -0.5    1.1    0   6621.09   1614.28
2025-10-11T16:23:48.443636045Z [inf]  2024-09-05   -1.6    1.5    0   6621.09   1614.01
2025-10-11T16:23:48.456264421Z [inf]  2024-09-06   -1.1   -2.6   -1   6621.09   1622.41
2025-10-11T16:23:48.465534049Z [inf]  2024-09-07   -2.6    0.1    0   6483.25   1587.58
2025-10-11T16:23:48.477456886Z [inf]  2024-09-08   -1.5   -2.7   -1   6483.25   1573.40
2025-10-11T16:23:48.486260571Z [inf]  2024-09-09   -1.8   -2.9   -1   6483.25   1536.31
2025-10-11T16:23:48.498787564Z [inf]  2024-09-10   -1.0   -0.7   -1   6483.25   1553.57
2025-10-11T16:23:48.511103269Z [inf]  2024-09-11    2.0   -3.7    0   7038.78   1461.92
2025-10-11T16:23:48.518815300Z [inf]  2024-09-12    1.7   -2.6    0   7038.78   1442.89
2025-10-11T16:23:48.527233559Z [inf]  2024-09-13    2.7   -1.2    0   7038.78   1382.58
2025-10-11T16:23:48.538507860Z [inf]  2024-09-14    1.8    0.3    1   7038.78   1284.12
2025-10-11T16:23:48.547055137Z [inf]  2024-09-15    1.3   -1.7    0   5033.59   1331.73
2025-10-11T16:23:48.559672854Z [inf]  2024-09-16    4.0   -1.2    0   5033.59   1310.63
2025-10-11T16:23:48.569077154Z [inf]  2024-09-17    3.5    0.8    1   5033.59   1466.38
2025-10-11T16:23:48.578655502Z [inf]  2024-09-18    3.0   -0.3    0   7426.25   1446.22
2025-10-11T16:23:48.596905070Z [inf]  2024-09-19    2.1   -1.6    0   7426.25   1448.25
2025-10-11T16:23:48.600356252Z [inf]  2024-09-20    1.2    1.3    1   7426.25   1395.69
2025-10-11T16:23:48.618403990Z [inf]  2024-09-21    2.0    0.5    1   7426.25   1410.77
2025-10-11T16:23:48.620976082Z [inf]  2024-09-22    1.6    2.1    1   7426.25   1440.26
2025-10-11T16:23:48.632540533Z [inf]  2024-09-23    1.1    0.4    1   7426.25   1395.00
2025-10-11T16:23:48.645374501Z [inf]  2024-09-24   -0.1    2.6    0   6334.01   1367.84
2025-10-11T16:23:48.653011921Z [inf]  2024-09-25    0.8    4.9    1   6334.01   1399.55
2025-10-11T16:23:48.662619258Z [inf]  2024-09-26    1.0    5.0    1   6334.01   1414.22
2025-10-11T16:23:48.675153044Z [inf]  2024-09-27    0.8    6.2    1   6334.01   1388.91
2025-10-11T16:23:48.684720153Z [inf]  2024-09-28   -1.3    4.9    0   6724.26   1412.95
2025-10-11T16:23:48.692994307Z [inf]  2024-09-29   -1.4    5.0    0   6724.26   1402.85
2025-10-11T16:23:48.711325336Z [inf]  2024-09-30   -1.0    7.2    0   6724.26   1453.78
2025-10-11T16:23:48.715026052Z [inf]  2024-10-01   -0.9    6.3    0   6724.26   1435.23
2025-10-11T16:23:48.727840926Z [inf]  2024-10-02   -0.8    5.4    0   6724.26   1522.27
2025-10-11T16:23:48.735108790Z [inf]  2024-10-03   -1.3    2.9    0   6724.26   1525.12
2025-10-11T16:23:48.752900236Z [inf]  2024-10-04   -0.8    2.8    0   6724.26   1526.61
2025-10-11T16:23:48.757109923Z [inf]  2024-10-05   -1.0    2.3    0   6724.26   1493.67
2025-10-11T16:23:48.766610860Z [inf]  2024-10-06   -0.8    2.4    0   6724.26   1412.39
2025-10-11T16:23:48.776044518Z [inf]  2024-10-07    1.3    2.8    1   6724.26   1403.36
2025-10-11T16:23:48.795243526Z [inf]  2024-10-08    1.9    1.3    1   6724.26   1411.06
2025-10-11T16:23:48.798189712Z [inf]  2024-10-09    1.2    2.7    1   6724.26   1405.47
2025-10-11T16:23:48.807856400Z [inf]  2024-10-10    2.3    2.5    1   6724.26   1401.91
2025-10-11T16:23:48.819949589Z [inf]  2024-10-11    2.1    2.8    1   6724.26   1362.16
2025-10-11T16:23:48.827984891Z [inf]  2024-10-12    1.9    2.0    1   6724.26   1405.67
2025-10-11T16:23:48.847010476Z [inf]  2024-10-13    0.9    0.1    1   6724.26   1366.58
2025-10-11T16:23:48.850792459Z [inf]  2024-10-14    1.3   -0.3    0   5851.79   1378.06
2025-10-11T16:23:48.862309710Z [inf]  2024-10-15    1.6    0.5    1   5851.79   1335.49
2025-10-11T16:23:48.870846592Z [inf]  2024-10-16    3.2    0.7    1   5851.79   1282.79
2025-10-11T16:23:48.883672621Z [inf]  2024-10-17    3.0    1.5    1   5851.79   1287.49
2025-10-11T16:23:48.893408400Z [inf]  2024-10-18    2.6    2.1    1   5851.79   1304.35
2025-10-11T16:23:48.901982881Z [inf]  2024-10-19    3.2    3.6    1   5851.79   1355.98
2025-10-11T16:23:48.920173189Z [inf]  2024-10-20    3.2    2.7    1   5851.79   1370.10
2025-10-11T16:23:48.923598411Z [inf]  2024-10-21    4.9    4.5    1   5851.79   1363.02
2025-10-11T16:23:48.936466619Z [inf]  2024-10-22    4.7    5.9    1   5851.79   1381.90
2025-10-11T16:23:48.945341341Z [inf]  2024-10-23    4.1    5.2    1   5851.79   1438.14
2025-10-11T16:23:48.956420232Z [inf]  2024-10-24    3.1    6.9    1   5851.79   1426.13
2025-10-11T16:23:48.965205048Z [inf]  2024-10-25    2.0    7.6    1   5851.79   1405.66
2025-10-11T16:23:48.974637813Z [inf]  2024-10-26    0.5    7.6    1   5851.79   1383.84
2025-10-11T16:23:48.986864423Z [inf]  2024-10-27    0.1    4.8    1   5851.79   1433.76
2025-10-11T16:23:48.996519521Z [inf]  2024-10-28    1.2    4.4    1   5851.79   1468.14
2025-10-11T16:23:49.016510399Z [inf]  2024-10-29   -0.6    4.2    0   7381.72   1496.38
2025-10-11T16:23:49.016519985Z [inf]  2024-10-30    0.1    4.7    1   7381.72   1502.39
2025-10-11T16:23:49.035197653Z [inf]  2024-10-31   -0.4    5.1    0   7500.43   1505.91
2025-10-11T16:23:49.040565255Z [inf]  2024-11-01    0.5    5.4    1   7500.43   1511.37
2025-10-11T16:23:49.059101215Z [inf]  2024-11-02   -0.5    5.8    0   7609.26   1505.69
2025-10-11T16:23:49.062416829Z [inf]  2024-11-03   -1.4    6.2    0   7609.26   1527.63
2025-10-11T16:23:49.071684571Z [inf]  2024-11-04    0.4    5.8    1   7609.26   1501.23
2025-10-11T16:23:49.089729768Z [inf]  2024-11-05    3.3    6.9    1   7609.26   1549.29
2025-10-11T16:23:49.093160137Z [inf]  2024-11-06    3.3    5.7    1   7609.26   1563.46
2025-10-11T16:23:49.105763359Z [inf]  2024-11-07    3.8    3.6    1   7609.26   1565.55
